   Compiling gp v0.1.0 (/home/chris/projects/rust/gp)
    Finished release [optimized] target(s) in 1.82s
     Running `target/release/gp`
CURRENT NUM THREADS= 8
Run #1
num hits=40
   gen tfid tcid   hits      r      s        a        n      nfr avgRawF
-------------------

Function Def ADF2:

(AND
  (NOT
    (NOT
      (OR W E)))
  (OR S SE)
)
-------------------

Function Def ADF3:

(NOT
  (OR W N)
)
-------------------

Function Def ADF4:

(AND
  (AND
    (NOT
      (AND
        (OR E NW)
        (OR SE X))) NW)
  (AND
    (OR
      (OR
        (NOT S)
        (OR NW W))
      (NOT
        (OR NE X)))
    (NOT
      (AND
        (OR
          (NOT
            (AND NW W))
          (AND
            (NOT S)
            (OR SE SW)))
        (NOT
          (OR
            (NOT X)
            (AND W S))))))
)
-------------------

Result Branch0:

(OR
  (OR
    (AND
      (OR
        (HOMING GON)
        (NOT SE))
      (HOMING
        (HOMING E)))
    (IF
      (AND
        (IF
          (OR
            (OR GONE GONE)
            (HOMING GON))
          (NOT
            (NOT SE))
          (AND
            (OR GONE GONW)
            (IF SW
              (OR
                (NOT
                  (OR W GOSE))
                (AND
                  (AND GOSE S)
                  (HOMING GOE))) E)))
        (OR X GONW))
      (NOT
        (AND S GOSE))
      (OR
        (OR GON GON)
        (IF
          (OR
            (OR
              (NOT
                (OR W GOSE))
              (AND
                (AND GOSE S)
                (NOT
                  (AND S GOSE))))
            (IF
              (OR
                (OR GONE GONE)
                (HOMING GON))
              (IF E E GONE)
              (AND
                (OR GONE GONW)
                (NOT GOW))))
          (IF
            (OR
              (OR GON GON)
              (IF
                (HOMING E)
                (NOT N)
                (NOT SE)))
            (OR
              (OR
                (OR GOSW X)
                (IF GONE GONW SE))
              (AND
                (IF
                  (OR
                    (OR GONE GONE)
                    (HOMING GON))
                  (NOT
                    (NOT SE))
                  (AND
                    (OR GONE GONW)
                    (NOT GOW)))
                (OR X GONW)))
            (HOMING
              (OR
                (HOMING SE)
                (IF X GONW NW))))
          (OR
            (NOT
              (OR
                (IF
                  (OR
                    (OR
                      (NOT
                        (NOT
                          (HOMING GOE)))
                      (AND
                        (AND GOSE
                          (IF
                            (HOMING W)
                            (AND GOSW GOSE)
                            (OR S GOSW)))
                        (HOMING GOE)))
                    (IF
                      (OR
                        (OR GONE GONE)
                        (OR
                          (IF
                            (IF GOS GOSW GOW)
                            (AND GOS E)
                            (NOT GOS))
                          (AND
                            (AND N GON)
                            (AND N N))))
                      (HOMING
                        (OR
                          (HOMING SE)
                          (IF X GONW NW)))
                      (AND
                        (OR GONE GONW)
                        (NOT GOW))))
                  (IF
                    (OR
                      (IF
                        (IF GOS GOSW GOW)
                        (AND GOS E)
                        (NOT GOS))
                      (IF
                        (HOMING E)
                        (AND GOSE S)
                        (NOT E)))
                    (OR
                      (OR
                        (OR GOSW X)
                        (IF GONE GONW SE))
                      (NOT
                        (OR GOSW X)))
                    (HOMING
                      (OR
                        (HOMING SE)
                        (IF X GONW NW))))
                  (OR
                    (IF
                      (OR
                        (OR GON GON)
                        (IF
                          (HOMING E)
                          (NOT N)
                          (NOT E)))
                      (OR
                        (OR
                          (OR GOSW X)
                          (IF GONE GONW SE))
